id,is_iceberg
5941774d,0.327620267868042
4023181e,0.4052574634552002
b20200e4,0.0
e7f018bb,0.9780458211898804
4371c8c3,0.034406840801239014
a8d9b1fd,2.9206275939941406e-05
29e7727e,0.11947423219680786
92a51ffb,0.9859134554862976
c769ac97,0.00027126073837280273
aee0547d,6.771087646484375e-05
565b28ac,7.748603820800781e-06
e04e9775,0.08817338943481445
8e8161d1,0.013012528419494629
4cf4d256,0.5567305684089661
139e5324,0.0001533031463623047
f156976f,0.004701673984527588
68a117cc,0.005076944828033447
d9aa7a56,3.5762786865234375e-06
9005b143,0.0008141398429870605
5f6d3988,0.9407697916030884
9ad70954,0.004986464977264404
b9087b9e,0.6092463135719299
a39a1427,0.12125831842422485
82fbe8ed,0.04468095302581787
1fae4879,3.3855438232421875e-05
6dd8f13d,0.0
bbad5958,0.19416409730911255
54527583,0.27928048372268677
be8fa29c,0.049726128578186035
81a3328f,0.998374342918396
1a3c0ab3,0.0
4deeeb8b,0.9883192777633667
ac6d5632,0.8052259683609009
472dadb5,0.021465420722961426
96093f95,0.9033486247062683
f5b4e3df,0.9892908930778503
e01a3c92,0.19750458002090454
001680af,0.0054038166999816895
8e639f33,0.27887749671936035
a2c16612,0.6680930256843567
a6d76474,0.0
19c47684,0.7233842015266418
015827b6,4.076957702636719e-05
7df7f7ce,7.152557373046875e-06
0bbf1a3f,0.9932987093925476
636cfbb7,0.8483112454414368
7370030a,0.9995166063308716
43aa97ad,0.0
ba2b5e63,0.9995980858802795
dfdd335b,0.0260617733001709
e79b13dc,0.0
dc32b195,0.28423428535461426
6d868590,0.9702020883560181
75fa59aa,0.0472833514213562
ffe50836,3.5762786865234375e-07
a7bfd784,0.9910774230957031
b3d569e3,0.011004447937011719
6c538c5b,0.10371887683868408
5c7c15f4,0.0
0b745139,5.078315734863281e-05
fd14608e,0.0008345842361450195
f0bc8305,0.013111352920532227
a10ccb28,0.9995080232620239
543304c7,0.9240707755088806
6c3a4078,4.374980926513672e-05
9b73cc75,0.00010514259338378906
5c6c71b1,0.3307478427886963
09ee9186,0.0005736351013183594
207c35cf,0.9477171897888184
153c813e,0.0
5605d58b,0.9034257531166077
642ca396,0.02168452739715576
d32d72c0,0.24159300327301025
16646a17,0.9439922571182251
384074af,1.430511474609375e-06
69bf1e8c,0.5487490296363831
9e90a054,0.06204342842102051
89dbe7f7,0.9965314269065857
dbd27d22,0.009015202522277832
a2ea1561,0.05687916278839111
d63402af,0.0588262677192688
1ac8bb92,0.9914690852165222
8beffca5,0.05628913640975952
46741f3e,0.0
e5ee6aa7,0.0
5ecd892b,0.852262556552887
69892166,0.0058255791664123535
2f725a81,0.3376566171646118
810abfe4,0.0
e6f973e6,0.1155167818069458
c60a5c46,0.0015164017677307129
c42b9e08,0.21718323230743408
c3f00c23,0.0
5307fdb8,0.9974538683891296
3e4f005e,0.004285275936126709
4a4cc2e0,0.8569744229316711
9bdd88d1,0.0007320046424865723
0d832bed,0.03728914260864258
14a134fa,0.00012874603271484375
78a41676,0.0
0bd4658e,0.5604994893074036
4a311bb0,0.9862096905708313
f939c817,2.956390380859375e-05
956adc4d,0.9740318655967712
f8a119f5,0.7169051170349121
61faa1ad,0.010335266590118408
6725eb3e,8.344650268554688e-07
17b3a8fd,5.0902366638183594e-05
49a88dfc,0.0
2d6ec645,0.3899957537651062
0d4d77ba,0.9350888133049011
3ee672a2,0.9912631511688232
738b41fd,0.22573256492614746
f7fb320d,0.9247699975967407
b42fad18,0.0005742311477661133
4ab8b00a,0.8491460084915161
f7870f2b,0.12258881330490112
4978666a,0.9731804132461548
f1b0d6c7,0.020033061504364014
5642407f,0.023942172527313232
36d4ff92,0.9935668110847473
4139aba2,0.22129595279693604
